"hh_ID","lid","PC6","type","longitude","latitude","PC4"
34680,"home_1","2531AA","home","4.29445365984736","52.0582569644013","2531"
34601,"home_2","2531AA","home","4.29445365984736","52.0582569644013","2531"
36416,"home_3","2531AA","home","4.29445365984736","52.0582569644013","2531"
36514,"home_4","2531AA","home","4.29445365984736","52.0582569644013","2531"
34802,"home_5","2531AA","home","4.29445365984736","52.0582569644013","2531"
36313,"home_6","2531AA","home","4.29445365984736","52.0582569644013","2531"
35584,"home_7","2531AA","home","4.29445365984736","52.0582569644013","2531"
34752,"home_8","2531AA","home","4.29445365984736","52.0582569644013","2531"
37630,"home_9","2531AA","home","4.29445365984736","52.0582569644013","2531"
37592,"home_10","2531AA","home","4.29445365984736","52.0582569644013","2531"
36166,"home_11","2531AA","home","4.29445365984736","52.0582569644013","2531"
35283,"home_12","2531AA","home","4.29445365984736","52.0582569644013","2531"
36311,"home_13","2531AA","home","4.29445365984736","52.0582569644013","2531"
35570,"home_14","2531AA","home","4.29445365984736","52.0582569644013","2531"
35098,"home_15","2531AA","home","4.29445365984736","52.0582569644013","2531"
34652,"home_16","2531AA","home","4.29445365984736","52.0582569644013","2531"
35467,"home_17","2531AA","home","4.29445365984736","52.0582569644013","2531"
34758,"home_18","2531AA","home","4.29445365984736","52.0582569644013","2531"
35870,"home_19","2531AA","home","4.29445365984736","52.0582569644013","2531"
35409,"home_20","2531AA","home","4.29445365984736","52.0582569644013","2531"
35013,"home_21","2531AA","home","4.29445365984736","52.0582569644013","2531"
37227,"home_22","2531AA","home","4.29445365984736","52.0582569644013","2531"
36700,"home_23","2531AA","home","4.29445365984736","52.0582569644013","2531"
35771,"home_24","2531AA","home","4.29445365984736","52.0582569644013","2531"
36648,"home_25","2531AA","home","4.29445365984736","52.0582569644013","2531"
35824,"home_26","2531AA","home","4.29445365984736","52.0582569644013","2531"
35367,"home_27","2531AA","home","4.29445365984736","52.0582569644013","2531"
37315,"home_28","2531AA","home","4.29445365984736","52.0582569644013","2531"
36638,"home_29","2531AA","home","4.29445365984736","52.0582569644013","2531"
36046,"home_30","2531AA","home","4.29445365984736","52.0582569644013","2531"
36210,"home_31","2531AA","home","4.29445365984736","52.0582569644013","2531"
